Company,Value
Company A,0.3749
Company A,0.3813
Company A,0.4131
Company A,0.385
Company A,0.3978
Company A,0.3666
Company A,0.394
Company A,0.398
Company A,0.3826
Company A,0.3969
Company A,0.4095
Company A,0.3968
Company A,0.3753
Company A,0.3715
Company A,0.3814
Company A,0.3538
Company A,0.4103
Company A,0.3727
Company A,0.3651
Company A,0.3875
Company A,0.3843
Company A,0.3983
Company A,0.3513
Company A,0.3576
Company A,0.3535
Company A,0.3367
Company A,0.413
Company A,0.3826
Company A,0.4298
Company A,0.4087
Company A,0.4174
Company A,0.387
Company A,0.3916
Company A,0.3506
Company A,0.3996
Company A,0.3817
Company A,0.4153
Company A,0.3975
Company A,0.3868
Company A,0.3926
Company A,0.3852
Company A,0.3626
Company A,0.3842
Company A,0.378
Company A,0.3537
Company A,0.3955
Company A,0.3416
Company A,0.3801
Company A,0.3823
Company A,0.366
Company A,0.3551
Company A,0.3543
Company A,0.3739
Company A,0.3675
Company A,0.3816
Company A,0.3507
Company A,0.3889
Company A,0.35
Company A,0.4333
Company A,0.3835
Company A,0.4028
Company A,0.3875
Company A,0.3772
Company A,0.4146
Company A,0.4246
Company A,0.3436
Company A,0.3575
Company A,0.3862
Company A,0.3996
Company A,0.3612
Company A,0.3826
Company A,0.3587
Company A,0.3828
Company A,0.3675
Company A,0.3905
Company A,0.3945
Company A,0.3956
Company A,0.3913
Company A,0.3308
Company A,0.3969
Company A,0.4009
Company A,0.3712
Company A,0.3614
Company A,0.3886
Company A,0.3776
Company A,0.3696
Company A,0.4082
Company A,0.3864
Company A,0.4019
Company A,0.3757
Company A,0.3611
Company A,0.3849
Company A,0.399
Company A,0.4135
Company A,0.3732
Company A,0.3072
Company A,0.392
Company A,0.3843
Company A,0.3754
Company A,0.4065
Company A,0.3894
Company A,0.3599
Company A,0.3832
Company A,0.3953
Company A,0.4276
Company A,0.383
Company A,0.3445
Company A,0.3654
Company A,0.3882
Company A,0.4071
Company A,0.4001
Company A,0.3938
Company A,0.3792
Company A,0.374
Company A,0.4248
Company A,0.3714
Company A,0.3893
Company A,0.364
Company A,0.3909
Company A,0.3578
Company A,0.3559
Company A,0.3643
Company A,0.3842
Company A,0.4148
Company A,0.3893
Company A,0.3689
Company A,0.391
Company A,0.3912
Company A,0.3428
Company A,0.3775
Company A,0.3848
Company A,0.3612
Company A,0.3604
Company A,0.3806
Company A,0.3873
Company A,0.3852
Company A,0.4056
Company A,0.3832
Company A,0.3947
Company A,0.3405
